id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
4715,24.99,2231,3.75,134,42,37,1268,Lifestyle,Food & Beverage,English
1769,0,26474,4.5,709,null,9,88,Business,Entrepreneurship,English
5664,19.99,1713,4.4,41,13,14,82,Lifestyle,Other Lifestyle,Afrikaans
7723,199.99,4988,4.8,395,88,36,null,Lifestyle,Pet Care & Training,English
8157,159.99,1266,4.75,38,12,38,569,Design,Web Design,English
8139,29.99,20505,4.5301204,,,31,,Health & Fitness,Yoga,English
2762,39.99,3309,3.85,958,241,8,,Finance & Accounting,Investing & Trading,Arabic
8082,74.99,28824,4,741,189,56,,Development,Programming Languages,English
8075,149.99,10761,3.9,349,,87,,Business,Media,English
8069,99.99,483,4.65,100,45,73,,Marketing,Search Engine Optimization,Spanish
8318,49.99,794,4.1,27,16,10,,Teaching & Academics,Teacher Training,English
8422,49.99,1322,4.45,196,76,5,,Health & Fitness,Yoga,English
8416,49.99,2058,3.65,25,8,81,,Development,Mobile Development,English
8420,19.99,4454,4.35,,147,230,,IT & Software,IT Certifications,English
8324,19.99,9714,4.4083886,1081,194,48,null,Development,Web Development,English
8467,39.99,5566,4.1666665,720,163,6,158,Business,Entrepreneurship,English
8471,29.99,505,3.25,24,3,19,148,Lifestyle,Food & Beverage,English
8319,19.99,296,3.75,13,null,31,454,Development,Software Development Tools,Spanish
8410,24.99,2069,4.1,172,63,53,359,Design,Design Tools,English
8629,34.99,11,0,0,0,8,,Teaching & Academics,Science,English
8776,19.99,3192,4.4,366,59,260,,IT & Software,IT Certifications,English
8814,19.99,40979,4.236842,533,134,33,,Design,Web Design,English
8746,19.99,3934,4.65,764,132,245,,IT & Software,IT Certifications,English
8621,89.99,388,3.6,20,6,64,,Teaching & Academics,Teacher Training,English
8812,24.99,240,4.3,24,8,5,,Lifestyle,Food & Beverage,English
9071,44.99,880,4.2,274,79,26,,Health & Fitness,General Health,English
8874,94.99,320,4.2,20,2,33,220,Design,Design Tools,English
9061,0,44323,4.5,1541,261,7,,IT & Software,IT Certifications,English
8849,44.99,7791,4.6,545,149,26,176,Business,Communication,English
9287,49.99,69264,4.423077,2360,699,126,,Office Productivity,Microsoft,English
9224,19.99,132,3.25,14,5,14,,Marketing,Digital Marketing,English
